Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.51, Position: (-117.52, 42.08, 22.35)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.53, Position: (-117.51, 42.11, 22.34)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.53, Position: (-117.51, 42.11, 22.34)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.54, Position: (-117.50, 42.13, 22.33)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.54, Position: (-117.50, 42.13, 22.33)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.56, Position: (-117.49, 42.18, 22.30)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.56, Position: (-117.49, 42.18, 22.30)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.58, Position: (-117.48, 42.20, 22.29)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.58, Position: (-117.48, 42.20, 22.29)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.59, Position: (-117.47, 42.22, 22.28)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.59, Position: (-117.47, 42.22, 22.28)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.62, Position: (-117.46, 42.26, 22.26)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.62, Position: (-117.46, 42.26, 22.26)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.94, Position: (-117.24, 42.93, 22.19)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.94, Position: (-117.24, 42.93, 22.19)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 61.46, Position: (-116.42, 44.00, 22.11)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 61.46, Position: (-116.42, 44.00, 22.11)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 61.49, Position: (-116.36, 44.06, 22.10)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 61.49, Position: (-116.36, 44.06, 22.10)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 61.52, Position: (-116.29, 44.11, 22.09)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 61.52, Position: (-116.29, 44.11, 22.09)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 61.62, Position: (-116.03, 44.30, 22.05)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 61.62, Position: (-116.03, 44.30, 22.05)
