Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.28, Position: (-74.42, 50.41, 20.28)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.28, Position: (-74.42, 50.41, 20.28)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.28, Position: (-74.44, 50.43, 20.30)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.28, Position: (-74.44, 50.43, 20.30)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.32, Position: (-74.51, 50.50, 20.37)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.32, Position: (-74.51, 50.50, 20.37)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.33, Position: (-74.51, 50.51, 20.38)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.33, Position: (-74.51, 50.51, 20.38)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.39, Position: (-74.57, 50.68, 20.46)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.39, Position: (-74.57, 50.68, 20.46)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.40, Position: (-74.57, 50.73, 20.47)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.40, Position: (-74.57, 50.73, 20.47)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.41, Position: (-74.57, 50.77, 20.48)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.41, Position: (-74.57, 50.77, 20.48)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.42, Position: (-74.57, 50.80, 20.48)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.42, Position: (-74.57, 50.80, 20.48)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.43, Position: (-74.56, 50.83, 20.48)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.43, Position: (-74.56, 50.83, 20.48)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.44, Position: (-74.55, 50.86, 20.49)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 32.44, Position: (-74.55, 50.86, 20.49)
Collision with: UnloadingArea, Time: 77.20, Position: (23.71, 29.20, 80.95)
Collision with: UnloadingArea, Time: 77.58, Position: (24.24, 27.47, 80.77)
Collision with: UnloadingArea, Time: 77.67, Position: (24.23, 27.32, 80.74)
Collision with: UnloadingArea, Time: 77.81, Position: (24.20, 27.33, 80.77)
